userName,score,at,content,target
Aan-lakar-blater-039,5,2022-12-26 01:42:07,Tolong aku 😭😭😭aku butuh akun tik tok aku tapi aku lupa kata sandi dan emil aku mohon informasi iya gimana cara nya bisa kembali lagi ke akun saya,1
Qinton Santos,5,2022-12-25 17:36:32,Bagus,1
Carsiliano Pinto,5,2022-12-25 06:45:14,Danload aplikasi tiktok,1
Surik Mas,5,2022-12-25 05:12:28,Tiktok ini bagus tapi filter nya gw ga suka,1
Janu Da cruz,3,2022-12-24 21:06:38,👍,0
Midu Pereira,5,2022-12-24 15:35:18,Good,1
Abah Komar,4,2022-12-24 14:36:25,Ok,1
Mama Ranti,5,2022-12-24 12:08:12,Sangat mngibur,1
Dream Master83,5,2022-12-24 11:11:22,Good,1
Ryan evendi,1,2022-12-24 08:04:23,App saya di tangguhkan,0
Ahmad Skr,3,2022-12-24 07:44:12,Kren,0
Maesha Sukmawijaya,5,2022-12-24 07:39:46,Lumayan buat hiburanku,1
Armesya Aray,4,2022-12-24 07:02:46,I like,1
Alice Freitas,5,2022-12-24 00:09:18,Apk bagus,1
Siti Nurdiana,1,2022-12-23 16:31:16,Tolong perbaiki tiktok saya tidak muncul keranjang kuning tidak bisa untuk belanja,0
Francisco Ribeiro Maia,2,2022-12-23 10:08:07,Good,0
Pengguna Google,5,2022-12-23 10:06:23,kenapa video tiktok saya gak bisa klik untuk merekam...,1
Isabel pereira,5,2022-12-23 07:13:47,good👌,1
AZINDA CANOSSA,5,2022-12-23 06:19:51,bgs sekali,1
Atanacio mesquita da costa Silva,5,2022-12-23 04:49:34,Gayag,1
RISKA JAHRONI,5,2022-12-23 03:07:36,Awesome thanks 😊,1
lokman lokman uddin,5,2022-12-23 02:59:04,lokman lokman,1
Domingos Soares,5,2022-12-23 01:26:06,Kami suka sekali tiktok,1
George Sampaiu,5,2022-12-23 01:11:24,Aplikasi keren 🥰🥰🥰,1
RMD GAMING,5,2022-12-22 18:59:15,Mantap,1
Aris Jampang,1,2022-12-22 18:21:45,Tik tok ke banyakan ngambil data,0
Franky Wijaya,5,2022-12-22 18:18:28,Ok,1
Enni Cianjur,5,2022-12-22 15:25:43,Bagus,1
Mata Hatiqu,3,2022-12-22 11:26:58,Kendala di tik tok sekarang kenapa keranjang kuning selalu hilang,0
Antonio Fereira,2,2022-12-22 08:35:09,Aplikasi ini memnghibur saya,0
Azam amroni,2,2022-12-22 07:03:43,😘menurut saya bagus kali,0
Wafi Musabbihi,1,2022-12-22 06:00:02,Aplikasi ini mengarah ke bisnis akan tetapi sering membekukan produk jualan dengan alasan yg tidak logis padahal sudah ada riwayat penjualan. Ini merugikan seller. Saya janji mau beri bintang 5 asal produk saya yg dibekukan kembali normal.,0
Noor Hidayah,5,2022-12-21 08:51:21,The best,1
Putu warog Formosa,2,2022-12-21 04:25:20,Tik tok game tidak muncul,0
Siti nurul Hikmah,4,2022-12-20 13:27:36,Sangant bagusss,1
Aang Senopati,2,2022-12-20 13:12:50,Gk bagus. Kesalah sistem mulu,0
Asyraaf Danish,5,2022-12-20 11:27:24,Ini TikTok seru,1
Alexandre da Costa Fernandes,5,2022-12-20 11:12:50,Fantastic,1
Bunda Ardi,5,2022-12-20 09:41:44,Sangat menginspirasi sekali,1
Daniel Delatina,5,2022-12-20 09:14:34,B aja,1
Desi Arisandi,5,2022-12-20 09:08:20,Mantappp I like,1
Yosef ilko badai,5,2022-12-20 05:10:52,Aplikasi Sosmed no 1. Sangat powerfull,1
Joaquim Sarmento,5,2022-12-20 01:18:10,Bagu sekali ni,1
Binu Gnlb,1,2022-12-19 22:19:49,0ctavio da Cruz g0ncalves2006,0
Hmm M,5,2022-12-19 12:58:36,Titik the best,1
Gevania Leite,5,2022-12-19 12:38:34,saya suka dengan aplikasi ini..!!!!!!!!!!!!!,1
Nailul Jamila,5,2022-12-19 10:31:38,Perfect,1
Aria Siliwangi,5,2022-12-19 10:08:10,Bgus bgt,1
Gunawan,5,2022-12-19 07:21:01,Nebeng tenar,1
Munas Efendi,5,2022-12-18 17:58:28,Keren2,1
Cheickh Traoré,5,2022-12-18 17:22:00,Jaime tik tok parace I'll me divertie 😍😘😗😇🤗,1
charlie dolar,5,2022-12-18 14:37:44,Nicek,1
Lemor bes,5,2022-12-18 14:17:43,Tolong dong naiking followers dong,1
Saddan Umar,5,2022-12-18 09:27:02,Good,1
Суриани Команг,5,2022-12-18 08:05:46,Good,1
Simel 07,5,2022-12-18 06:59:51,Good apk,1
Seno Windu,5,2022-12-18 06:53:21,Josss,1
Dark World,5,2022-12-18 06:37:40,👍,1
Md Mosarof,3,2022-12-18 06:23:38,Hundredths sodasode,0
Razyo Francisco,5,2022-12-17 22:27:34,Keren,1
Albertino Machado,5,2022-12-17 22:23:19,🥰🥰🥰,1
ايوب زيبار,5,2022-12-17 16:17:05,اليف محبش يمشي,1
ماما توتي,5,2022-12-17 16:07:29,Udah dikasih 5bintang tik tok sangat menghibur,1
Wrtg Gjhh,5,2022-12-17 16:00:37,Aplikasih ini sangat mengesalkan,1
Uchy Imout,5,2022-12-17 14:07:10,Bgus,1
Atay Tlg,3,2022-12-17 11:30:28,Bagus sih tapi kok gah ada templat untuk edit,0
Sandra Neves,5,2022-12-17 08:20:11,🥰,1
FERDI MANUEL,5,2022-12-17 02:47:53,Tiktok ya saga bagus,1
Rony setiawan (Cah bagos),3,2022-12-16 21:54:25,"Fitur lokasi tidak ada, fitur daftar putar tidak ada, pengikut tidak akurat tiktok gathel ancene",0
Farel Lnxy,5,2022-12-16 19:57:25,Keren,1
Jamilah,5,2022-12-16 15:23:21,Good,1
Rasyah Putri,5,2022-12-16 14:47:36,Tik tok seru kita bsa hefi semoga tik tok makin kedefan,1
Esih Ening,5,2022-12-16 13:06:27,Bagus,1
Asd Asd,5,2022-12-16 10:30:04,Senang,1
Firsal Life (Iskhak),1,2022-12-16 10:26:37,Pesannya gk ke kirim2 ke seller,0
Elvis Oliveira guterres,4,2022-12-16 09:45:44,to TT 56 m 3GP 3m,1
Kps Kpuas,5,2022-12-16 05:46:06,Bagus,1
sedelizio Da Costa,3,2022-12-16 05:03:55,Kenapa ya filter di iPhone saya tidak ada ya.......?????,0
Elisabet Salgado,5,2022-12-16 02:57:28,Saya baik baik sajiya,1
Fai Zal,5,2022-12-15 20:46:44,Siiipppppp,1
Hanum Wahyudi,5,2022-12-15 11:28:33,Good,1
Paul Gama,5,2022-12-15 10:34:39,ok,1
Manuel Gusmao,5,2022-12-15 09:22:38,Keren,1
Adetia Eka putri,5,2022-12-15 04:46:10,tolong untuk pengguna andro kasi efec suara wulan sama licik dong,1
Jecky Carvalho,5,2022-12-15 03:18:47,sangat bagus,1
Ahmad Yani,5,2022-12-14 14:57:09,lumayan buat ngilangin stres,1
football news,1,2022-12-14 11:31:27,Merusak moral bangsa,0
Pedro sere Vieira,5,2022-12-14 09:19:22,Josss,1
Junior,5,2022-12-14 09:05:16,Apk nya bagus kok,1
Giovanio Tilman,4,2022-12-14 07:33:17,Baik sekali,1
Dyna Godinho,5,2022-12-14 04:50:15,Keren bangat,1
Yayah Juhaeriyah,3,2022-12-14 04:45:41,Lumayan menghibur,0
As As,5,2022-12-13 23:54:44,Good,1
Affan Ahmadh,5,2022-12-13 23:11:45,كويس,1
rohayati rin (RIN),5,2022-12-13 08:08:23,baik,1
Farmer's Son,5,2022-12-12 19:04:43,Nice,1
Silvester Jacob,5,2022-12-12 11:14:20,Saya menyukai aplikasi ini cukup bagus buat says,1
Nemezyo Amaral,5,2022-12-12 08:46:55,Bagus sekali,1
Bahri balabala,4,2022-12-12 00:50:44,TikTok ku lemot,1
Joao Paul,5,2022-12-11 22:24:44,Bagus sekali,1
Irna Mala,5,2022-12-11 14:51:02,Makasih dh terhibur.banyak teman banyak saudara,1
Francisco soares Soares,5,2022-12-11 12:40:46,"Malam semuanya,,,.",1
Aalvin Zaiidaan,5,2022-12-11 10:17:14,Biar bintang yg bicara,1
Daffa Afkar Harahap,5,2022-12-11 09:15:55,Yu mek mi strong IM sorry fasing i need you I don't care Nat sker looorddd emesya fisyu ai med yu tit so wrong tit so wrong Ken yu mek mi strong,1
Bali 2022,5,2022-12-11 02:11:55,Bagus,1
Laura Vivie,5,2022-12-10 17:31:00,Oke banget,1
badriyah Sim,5,2022-12-10 14:42:52,Sukaaaa,1
Nivio Anderson,5,2022-12-10 13:51:46,Bagus,1
Angela Da silva pinto,5,2022-12-10 13:31:11,Bagus sekali lagi saya beli Monalisa slimming suit infra merah yang anda inginkan dan nomor telepon penting dalam kehidupan sehari-hari dan the Rescuger to download dangdut seksi hit di hp app world di dengan dirimu sendiri terhadap MK Ne to titi to download lagu rohani kesaksian para mana Iha Nia Daniaty masih ga ada harus nyalain lagi saya tekankan bahwa dia tidak akan berubah menjadi merah muda buat ne Katar di di hp lian hu Jintao to agora ne ma Nusa dua hotel di app store and more on Du Mon,1
Pejuang Rupiah,4,2022-12-10 11:13:08,Ok,1
Albertus Ebu,4,2022-12-10 10:56:03,Tolong di perbaiki lebih baik.trimakasih.,1
Agrefina Fernandes,5,2022-12-10 06:46:44,Susah fyp nih,1
Nurul Uyun,5,2022-12-10 04:51:29,Mantap,1
As As,3,2022-12-10 04:33:03,Ya lumayan lah buat hiburan,0
Lucia Dacostasoares,5,2022-12-10 00:35:29,Aplikasi tiktok terbaik,1
Najwa ulya Mecca,4,2022-12-09 23:49:07,🖤🖤🖤🖤,1
Novita Bonong,5,2022-12-09 19:54:17,Kenapa gak muncul kernjang kuning,1
CRJ 3306,2,2022-12-09 10:55:30,Algoritma nya payah,0
عزوز عزوز,1,2022-12-09 10:37:11,نعم,0
Abugadur Abugadur,5,2022-12-09 09:28:47,Free,1
Siti Maesaroh,5,2022-12-09 06:43:13,Good 👍,1
Raden4u Cianjur,5,2022-12-08 19:46:18,Mantep,1
fauzan rimpu,5,2022-12-08 14:09:48,Serusekali ini geme,1
Sejario Ximenes,5,2022-12-08 10:22:59,Jelek,1
kikitina nyai kiki,5,2022-12-08 05:44:53,kenapa jumlah like says menurun,1
Elsis Manza,5,2022-12-07 18:26:30,Say suka,1
Aji Muhajirin,5,2022-12-07 18:19:19,Sukan,1
Frncisco BochaNKL,5,2022-12-07 17:10:24,Ok,1
Goris Leki,5,2022-12-07 16:57:49,Aku sangat terhibur dengan ada nya tiktok Capeh ku terbayar sambil tik tok kan,1
Filominu Faria,5,2022-12-07 13:25:51,Bagus,1
Agung Putra roma,5,2022-12-07 13:14:16,Very good,1
Hady Rachman,5,2022-12-07 12:09:14,Tq tiktok,1
Bunga seroja,1,2022-12-07 12:06:29,Kenapa kesininya susah sekali buka mosik ny sama efek ny,0
Nissah RTa,2,2022-12-07 08:09:22,Efek yang baru gak bisa,0
Tifania Ximenes,5,2022-12-07 03:47:24,🤍,1
Roidah Babak,4,2022-12-06 22:46:54,Bagus,1
Ary 123,5,2022-12-06 17:33:51,Sangat terhibur dengan aplikasi ini bisa dapat banyak teman baik☺️,1
Alon Subejo,1,2022-12-06 11:23:12,Mantap boss,0
Aida Gusmao,4,2022-12-06 11:22:39,Ason,1
Atikha Bin awang,1,2022-12-06 10:11:03,"knpa akun saya bisa jadi baru,yg lma ilng",0
Thies Aisyah,5,2022-12-06 07:27:24,Aku suka banget ❤❤,1
Domibernoronha Ximenes,5,2022-12-06 06:05:37,Saya lupa kata sandi akun tik tok saya yang lama. Hp dan nmor hp saya hilang dan udah lama nggak loading ke akun tik tok saya. Tolon bantu saya untuk bisa mengakses kembali. @dianatuga1999,1
Yudit Arkana,5,2022-12-05 19:47:47,sneng sekali,1
Ahmad al Faruqi,4,2022-12-05 15:11:53,Mngapa tidk bolah live,1
Prisila Moru,5,2022-12-05 12:54:14,Keren banget,1
Lizete pinheiro,4,2022-12-05 11:27:19,A s t h e t i c ✨❤️😫 s e k a l i😫❤️✨,1
Maubrani Lalia,2,2022-12-05 10:56:23,Coba,0
MelQhy Cdn,4,2022-12-05 05:09:20,Mohon muncul kan fitur Shopnia,1
Azwah Fatimah,5,2022-12-05 05:01:35,Cukup terhibur,1
Nicolau De Andrade,3,2022-12-05 04:02:46,bagus,0
Avelino Soares,4,2022-12-05 02:08:23,Menghibur banget 😊🙏,1
Shabab Ali,1,2022-12-05 01:29:03,Tiktok Shababali 🔰💄🏢🏡🏡🏡🏡,0
Shopping Tata C,1,2022-12-04 18:42:19,AliMnd,0
Paulino Bauana Costa,5,2022-12-04 14:39:39,Bagussssssssss,1
Md Mainuddin,5,2022-12-04 09:30:08,GF,1
Rujuqu ia Nok Syahry,4,2022-12-04 08:11:50,Bekerja di Arab Saudi(kleanink serfise),1
Lestari 1991,5,2022-12-04 03:28:55,"Apa pun itu tapa dia kita tidak bisa menjadi apa,,",1
Cosmita Becitara,5,2022-12-04 02:17:05,Sangat aku suka,1
Fredencio Huno,5,2022-12-04 01:49:11,🤗🔥❤️,1
Deny Den,5,2022-12-03 18:14:42,Mantaap,1
Maulana Gobar,3,2022-12-03 17:54:29,Ok,0
Bunda Lara,5,2022-12-03 13:45:12,Terimakasih aplikasi tiktok sy bisa belajar dan menambah pengetahuan sangat bagus 👍🙏,1
Weeny Slamat,5,2022-12-03 10:49:58,Semoga berkah dan bermanfa'at Aamiin,1
Panda Lia,3,2022-12-03 10:45:18,Setlh d update knp jd gk bisa di buka apk tiktokny,0
VaN WooD,5,2022-12-03 08:17:45,tiktok the best🥰🥰🥰,1
Sutrisna,5,2022-12-03 06:43:55,Bisa kenal banyak teman di tiktok,1
Tirta Aprilliansyah,5,2022-12-03 06:27:38,Bagus banget,1
Cebo Dubere,5,2022-12-03 04:14:39,😍😍😍😍,1
ANWAR SANUSI,5,2022-12-03 03:08:00,top,1
Ambasti Gonsales,5,2022-12-03 02:34:54,Mantap...👏👏👏👏👏,1
مريم مريم,4,2022-12-02 20:30:23,GB GB g h the bk,1
Anjas Ghani,5,2022-12-02 20:20:07,Ok,1
Sunarti Sunarti,5,2022-12-02 19:07:33,Mantap aplikasi tik tok bisa buat hiburan para TKW luar negri,1
Fitrii Nugraha,5,2022-12-02 18:02:59,Good,1
Wati Yusro,5,2022-12-02 17:23:24,Terima kasih tik tok bisa ngobrol sama teman tkw,1
albertus Ebu,5,2022-12-02 16:37:16,Sangt2 bagus apknya,1
anak rantau S&S,5,2022-12-02 16:09:01,cukup bagus,1
Joana Vianei D'jesus Maia,5,2022-12-02 13:20:55,Bagus syng,1
Anisa Icut,5,2022-12-02 10:31:13,Saya senang sekali bermain aplikasi ini pokoknya the best,1
Deddy Galaxsi,5,2022-12-02 10:15:46,Menarik dan menghibur..,1
Rhiena Sany,2,2022-12-02 04:38:06,Ga bisa simpan vidioe otomatis knapa,0
sayful sampang hebat,4,2022-12-01 22:02:35,Kurang sip,1
Felisia nelsi,5,2022-12-01 20:03:00,😊😊😊,1
Ade bae Ade bae,5,2022-12-01 17:55:10,Baik,1
Althaf abdillah Al tala murtafie',5,2022-12-01 13:33:35,Ini tiktoknya kok gak bisa di donglot ya kalo adasalahsaya tolong di maafkan,1
Risman Syah,5,2022-12-01 09:36:11,Aku suka tik tok buat aku seneng,1
Adilson Silva,5,2022-12-01 06:13:26,Bagus,1
Vaetch,1,2022-12-01 04:46:28,"Pelan pelan, anda mengedit terlalu cepat KONTOLLLL",0
fhelisco nereha,4,2022-12-01 03:33:15,Mantap,1
Cimey89 Mey,5,2022-12-01 03:19:19,Maaf dong bang apa cm aku doang yg g bsa pake capcut dulu bsa knapa sekarang g bisa,1
Jon 33,5,2022-11-30 23:15:48,Ko iklan nx belum keluar juga,1
Hana Rohana,5,2022-11-30 14:00:24,Nice,1
Victory X Skn,5,2022-11-30 12:41:16,TikTok anda dan,1
Dena Dena,5,2022-11-30 08:36:02,Dafa 6000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000090000000000000000000000000😘,1
Haleema Haleema,5,2022-11-30 00:01:22,Ini ko arabb,1
Bilal Ali,5,2022-11-29 19:08:55,ইটক,1
ali untung,5,2022-11-29 18:53:45,bagus dan oke,1
Youness Bobchri,5,2022-11-29 17:44:35,Kelxi fihzwin kent dyali darb fih 2k kantlb mazid,1
Atanacio Silva,5,2022-11-29 06:24:38,Tiktok ini menarik,1
Amel Delifa,5,2022-11-29 04:38:02,"kendala di aplikasi tiktok , adalah tidak semua lagu bisa dipakai , ntah di pengaturan apa gmna",1
Andri Gusty,4,2022-11-29 04:11:13,Masoook,1
Marshal Prima,1,2022-11-29 02:38:48,"Di fitur aksesibilitas hilang nih gmn sih tiktok, tolong kembalikan dong",0
Nazi Attarpari,5,2022-11-28 17:24:27,بله عالی,1
Aurora Ati Aurora Ati,5,2022-11-28 12:23:08,Coba buat aplikasi body jadi slim,1
Selvi Nurazlina,5,2022-11-28 09:43:03,Saya suka nonton tik tok,1
Anna Novita,5,2022-11-28 08:56:44,Luar biasa,1
Taher .m,5,2022-11-28 05:13:57,تسبیت,1
Khaira Khaira,5,2022-11-28 01:55:42,"Kenapa akun saya jdi ga bisa live setelah di aptudet teruh ada peringatan usia sya krg dri 20 THN padahal saya bikin akun identitas asli,tolong pertimbangkan pihak TikTok",1
Sakila Sakila,5,2022-11-27 23:46:49,Tgl 1-1 -1992,1
Ummie Eva,5,2022-11-27 18:54:10,Kenapa y tiktok ku selalu gangguan dan tidak menanggapi,1
Syahrul Mubarak,5,2022-11-27 16:16:58,sundala,1
Muhammad Abdurrahman,5,2022-11-27 07:37:31,Bagus,1
Nikita Elvita,2,2022-11-27 04:33:50,Knp aku g ad suara yg terbaru 😑,0
Diah Andriasari,5,2022-11-27 04:04:42,Ini aplikasi terbaik dah 👍👍👍👍👍👍🥰,1
Abamar Costa,5,2022-11-26 23:34:59,Aku suka tiktok dan mereka like aku banyak sekali,1
tery putri,5,2022-11-26 15:27:16,💐🤍🤍,1
FDC Fahrie Doang Chanel,5,2022-11-26 03:45:54,Good,1
Eliana Correia,3,2022-11-26 02:30:37,Aplikasi ini bagus,0
Rudi Heryadi,5,2022-11-25 22:16:34,Like👍,1
Emi Chanel,5,2022-11-25 20:18:00,Cakep,1
Mayda Mayda,5,2022-11-25 18:00:57,Thanks jadi terhibur,1
Noman Korai,5,2022-11-25 15:49:15,Qwaesrer,1
Diah Sadiah,5,2022-11-25 15:27:24,Tiktok sangat bagus sekali,1
Mohammed Alqorashi,5,2022-11-25 06:49:34,"Ini sangat bagus saya suka,,,",1
celestinoguterres celestino,1,2022-11-24 20:38:44,"Www data:text/html,chromewebd ata",0
Srirahayu Ayu,5,2022-11-24 16:01:09,Good,1
ABDUL WAHAB,5,2022-11-24 13:32:28,Aplikasi ini sangat menghibur saya,1
Endro Rustanto,4,2022-11-24 03:51:04,baik,1
Musli Adi,5,2022-11-24 03:20:57,Mantap,1
Vellix Goulap,5,2022-11-24 03:19:03,Shopee Xpress,1
Parul Kanom,3,2022-11-24 01:48:01,Good,0
Graçiano Ena,5,2022-11-24 00:31:15,Aplikasi nya bagus banget,1
Marni Janwar,5,2022-11-23 15:22:18,Mengungkap kan emosional secara sehat,1
Josefina,5,2022-11-23 11:17:51,Bagus,1
Diah Yuliantini,5,2022-11-23 08:22:41,"hiburan di saat lelah,, luar biasa makasi tik tok🥰😘",1
Antonio Sarmento,5,2022-11-23 03:30:33,Aku suka banget sama Tik tok,1
Ardenio tito Borges,5,2022-11-22 23:43:25,Enakk,1
Ramola Amola,5,2022-11-22 21:57:25,tiuuuuussss,1
Jania bendita Rodrigues,4,2022-11-22 19:54:40,Apk ini sangat bagus,1
kharifah Rozzy,5,2022-11-22 18:43:21,nicwe,1
Nur Hasanah,3,2022-11-22 17:09:55,Kalo bagus di Tamba lagi,0
Quit Sis,5,2022-11-22 14:50:15,😍👌👌,1
Andi Andi sunardi,4,2022-11-22 11:03:11,Gk bs didonlot aplikasi ini sulit banget dipermudah kenapa,1
asep ateng,5,2022-11-22 06:48:47,teman dikesendirian,1
Ilda Dos Reis,5,2022-11-22 05:08:18,Bagus aih yapi,1
Alif yusuf darmawan,1,2022-11-22 02:09:34,woy anj buka baned akun gw🗿,0
Yantidejesus 1511,5,2022-11-22 00:05:38,The best,1
Joao dearaujo dasilva,4,2022-11-21 15:57:25,Saya masih belum punya banyak pengikut lainnya 😭,1
Abrilia Nicia,5,2022-11-21 13:21:03,Bagus bagat,1
Lindalva Dan costa,5,2022-11-21 13:14:29,I'm so likee3eeeeeeeeeee and loveeeeeee3eeeeeeeeeeeeeee ittttttttttttttttttt,1
Silvestra Alves,5,2022-11-21 12:54:24,Aplikasinya sangat bagus,1
Khoerul Amsor,5,2022-11-21 08:01:09,Bagus .. aq suka 🥰🥰🥰,1
AGydu Barros,5,2022-11-21 05:44:24,WAOO KEREN BANGAT,1
Md Mafa,5,2022-11-21 05:33:44,MaMafa,1
Elizabeth Jesus tilman,5,2022-11-21 04:40:59,Baguss banettt 🥳🤩,1
Jacintolopes Lopes,5,2022-11-21 04:17:52,Bermanpat untuk saya,1
Agusta Gomes,5,2022-11-21 02:49:03,Aplikasi nx bagus sekali👍,1
Bona Tipago wiyai,5,2022-11-20 18:56:41,Ok,1
Neni oktarini,5,2022-11-20 13:03:39,Good,1
riyan ray,4,2022-11-20 12:50:44,👌👌,1
TOLOL berfaedah,3,2022-11-20 11:36:01,Jan,0
Atta Marques,4,2022-11-20 07:37:45,bagus bangat 😘😘,1
Yusri Ismail,5,2022-11-20 06:49:28,Ok,1
Keyla Soares,5,2022-11-20 06:18:55,Tik tok,1
Fania Ssajf1234,1,2022-11-20 04:25:40,Kenapa sekarang tiktok positif banget ...lagi ikut gabung di room temen gak tau apa yang buat pelagarang nya langsung di band aja ...,0
Decsi 25,5,2022-11-20 04:00:02,Bagus banget,1
Marques Sergio,5,2022-11-20 01:13:52,Aseu,1
Ratih Sopian,5,2022-11-19 20:26:42,Good,1
Ifah Hopifah,5,2022-11-19 19:02:54,Sangat suka,1
Suweni Weni,4,2022-11-19 14:29:58,Not bad😁,1
Pilatus Galileia,5,2022-11-19 12:51:02,Sangat berguna,1
Thalimar Magno,5,2022-11-19 06:33:32,aplikasi nya bagus dan juga menghibur,1
Enty Enty,5,2022-11-19 05:18:29,Yes yes yes,1
fahom yaren,1,2022-11-19 00:56:54,Fff,0
Mety Mety,5,2022-11-19 00:40:56,Aplikasi nya sagat bagus,1
Tatang Sopandi,1,2022-11-18 19:03:59,Prnah bkrja dipabrik,0
Santi Olim,4,2022-11-18 15:02:49,Menghibur bngett,1
Jhee Martinz,5,2022-11-18 07:30:21,Sangat baik,1
Nelfy Nunes,5,2022-11-18 05:42:47,Belagari lebih lanjut,1
Mercy D'jes,4,2022-11-17 23:21:18,Apknya bgus,1
Estefanya Fanya,1,2022-11-17 22:57:46,😍😘😗😚😋,0
Natan Lemos,4,2022-11-17 21:17:25,Yaa bagus,1
Miya Damiati,5,2022-11-17 18:03:31,"Makasih tık tok, aplikasi yg bağus bisa menambah wawasan",1
Ipo Fred,5,2022-11-17 16:27:21,Saya sangat suka tiktok kasih bintang lima aja!!!!!!!!!!!!!!!!,1
Ary Wijaya,5,2022-11-17 15:57:48,Like saya kurang di reapon,1
Noor Idha,5,2022-11-17 15:02:59,Keren,1
Akila Habibi,3,2022-11-17 14:47:55,Pengen mencoba tiktok bagus ngga ya,0
Ade Dadan,5,2022-11-17 06:18:15,Goood,1
Yulie Susilawati,5,2022-11-17 03:47:26,Ok bgus snggat menghibur,1
Joana Salsinha,5,2022-11-16 23:49:20,Bagus,1
Cicing Wae,4,2022-11-16 09:30:35,اوكي,1
hajjar . sadik,3,2022-11-16 08:14:18,"Saya beri 3 karena makin hari, Vidio saya makin g di publik sama tiktok.",0
Aamira Amira,5,2022-11-16 04:05:19,Oky,1
Muhammad Rafi pradana,5,2022-11-15 21:07:19,Halo bagi yang menaya kan bagaimana live itu butuh umur 20th dan membutuh kan 1000 followers ya!,1
Lutfi Hartono,4,2022-11-15 19:22:27,Mantap,1
Rico Aditia,5,2022-11-15 16:21:24,Mantap,1
Dulcya Neves,5,2022-11-15 11:01:41,Bagusss,1
RS DF,5,2022-11-15 07:29:09,Tiktok Tiktok,1
Yanti Teh,5,2022-11-15 07:04:12,Wah bagus banget,1
Syam Sul,5,2022-11-15 06:47:31,Top,1
Robertu Carlos,4,2022-11-15 00:41:12,💯,1
bebe assis,5,2022-11-14 14:58:51,Bagus bgt sumpah,1
Erlina Da Costa,5,2022-11-14 12:51:14,Aplikasi ini bagus sangat menghibur🥰,1
Dr. OTOMOTIF TV,5,2022-11-14 12:35:56,Cukup terhibur,1
Ameta Pinto,5,2022-11-14 11:54:59,Saya lansun bingtan5,1
Takiya Genji,5,2022-11-14 07:29:47,ya bagus,1
Mujinu Pinto,5,2022-11-14 06:40:59,tiktok memberi yang terbaik,1
Isolina Soares,5,2022-11-14 04:24:09,Aku kasih bintan 5 Karna bagus 😄❤💋,1
Afildo Ino Ximenes,5,2022-11-14 03:16:11,Sangat menghibur,1
Zaki Zubay,3,2022-11-13 23:24:33,good,0
Yanti Yanti,5,2022-11-13 19:23:54,Semoga aku bisa lagi bikin video,1
Sayang Sayang,5,2022-11-13 17:32:02,Sangat bagus,1
Tony Freytas,5,2022-11-13 11:53:26,Good apps,1
Ruslan Naiem,5,2022-11-13 10:59:59,Very good apk,1
Frendelizio Guterres,5,2022-11-13 09:43:56,🥰,1
Dwi Martoaji,5,2022-11-13 02:40:31,"Baguusss sampe"" aku temukan jodohku di tiktok, terimakasih 🙏🙏😊",1
Mukhtar RaiZ,5,2022-11-13 02:34:39,Oceh,1
Siti Rahma Wati Jaidun,5,2022-11-12 22:40:11,Bagus,1
Yara Ahmed,5,2022-11-12 21:38:51,Verry Nice aplikasi 🥰😍,1
Istilahwati12 Madura,5,2022-11-12 20:33:49,Mantap,1
Mario Mario,5,2022-11-12 19:49:40,Sangat bagus,1
Andi Prabudi,5,2022-11-12 15:37:21,Sangat suka sekali,1
Farah asyla,5,2022-11-12 15:23:29,TikTok aplikasi yang bagus kalau lagi bete Langsung ke TikTok,1
Joel Cardoso,5,2022-11-12 14:06:38,Beatifful,1
joao borge,5,2022-11-12 13:14:53,I likee,1
Jenitu Das neves,5,2022-11-12 13:07:18,👏💪,1
Ak Fortoynty,5,2022-11-12 11:34:34,"MD FORHADBXBXJXJJXNDBDHDJDJNCBXHXJXJHXZBDJZKZNBZNDNX I I I I I I the the same time, the more first, I are the known for his own words us. The is a bit like the way to get with you oiwuwywtwyiwiwkdnbvhziwk djshvdudk do it. I was a bit though the same dbbxicbxhxghcbxusiksnznxhwjwiwkjx dhsjowjxndbeuiwkwksvd djekwkjdbduwikjxbdhdiwk dkwoznbdhdisksndbxheuiwksnxbdhejiksjdbejwksmnzbshwjsksn sjqknzbxhduzjnxbwjdh, and e, but I cbxbcbfbchxnxcncnjdjsnsnzbjwkwksncbxn fukwjsjxhdhhd ndjdkdjbfjfjcjfjiejjdudbjdn",1
Mas Wandi,5,2022-11-12 11:27:32,Titok ini saya suka,1
Maria Soares,1,2022-11-12 09:43:35,Tolong tanba efek Beaty baru dong,0
Milenio Leandro,5,2022-11-12 07:58:37,Apk ini sangat bagus,1
Sumi Yanti,5,2022-11-12 06:42:55,Sangat bagus makasih,1
Agnesia Dosantos,5,2022-11-12 04:26:32,Bagus,1
Arsenio Soares,5,2022-11-12 04:22:52,sangat menyenangkan,1
Karunia De carvalho,5,2022-11-12 03:41:38,Aplikasi bagus,1
Abdur Raman,5,2022-11-12 03:41:27,Ok the best,1
Sonny Ayc,5,2022-11-12 03:34:28,Tiktom hilangkan rasa lelah bkerja,1
Vi V,5,2022-11-12 03:04:41,Good,1
Slamet Hariyadi,4,2022-11-12 01:44:06,Enjoy,1
Teja Hamzah,5,2022-11-11 21:29:34,Luar biasa,1
