,userName,score,at,content,target,text,token,token_bersih
519,Haleema Haleema,5,2022-11-30 00:01:22,Ini ko arabb,1,ini ko arabb,"['ini', 'ko', 'arabb']",['arabb']
520,Bilal Ali,5,2022-11-29 19:08:55,ইটক,1,ইটক,['ইটক'],['ইটক']
521,ali untung,5,2022-11-29 18:53:45,bagus dan oke,1,bagus dan oke,"['bagus', 'dan', 'oke']","['bagus', 'oke']"
522,Youness Bobchri,5,2022-11-29 17:44:35,Kelxi fihzwin kent dyali darb fih 2k kantlb mazid,1,kelxi fihzwin kent dyali darb fih 2k kantlb mazid,"['kelxi', 'fihzwin', 'kent', 'dyali', 'darb', 'fih', '2k', 'kantlb', 'mazid']","['kelxi', 'fihzwin', 'kent', 'dyali', 'darb', 'fih', '2k', 'kantlb', 'mazid']"
523,Atanacio Silva,5,2022-11-29 06:24:38,Tiktok ini menarik,1,tiktok ini menarik,"['tiktok', 'ini', 'menarik']","['tiktok', 'menarik']"
524,Amel Delifa,5,2022-11-29 04:38:02,"kendala di aplikasi tiktok , adalah tidak semua lagu bisa dipakai , ntah di pengaturan apa gmna",1,kendala di aplikasi tiktok   adalah tidak semua lagu bisa dipakai   ntah di pengaturan apa gmna,"['kendala', 'di', 'aplikasi', 'tiktok', 'adalah', 'tidak', 'semua', 'lagu', 'bisa', 'dipakai', 'ntah', 'di', 'pengaturan', 'apa', 'gmna']","['kendala', 'aplikasi', 'tiktok', 'lagu', 'dipakai', 'ntah', 'pengaturan', 'gmna']"
525,Andri Gusty,4,2022-11-29 04:11:13,Masoook,1,masoook,['masoook'],['masoook']
526,Marshal Prima,1,2022-11-29 02:38:48,"Di fitur aksesibilitas hilang nih gmn sih tiktok, tolong kembalikan dong",0,di fitur aksesibilitas hilang nih gmn sih tiktok  tolong kembalikan dong,"['di', 'fitur', 'aksesibilitas', 'hilang', 'nih', 'gmn', 'sih', 'tiktok', 'tolong', 'kembalikan', 'dong']","['fitur', 'aksesibilitas', 'hilang', 'nih', 'gmn', 'sih', 'tiktok', 'tolong', 'kembalikan']"
527,Nazi Attarpari,5,2022-11-28 17:24:27,بله عالی,1,بله عالی,"['بله', 'عالی']","['بله', 'عالی']"
528,Aurora Ati Aurora Ati,5,2022-11-28 12:23:08,Coba buat aplikasi body jadi slim,1,coba buat aplikasi body jadi slim,"['coba', 'buat', 'aplikasi', 'body', 'jadi', 'slim']","['coba', 'aplikasi', 'body', 'slim']"
529,Selvi Nurazlina,5,2022-11-28 09:43:03,Saya suka nonton tik tok,1,saya suka nonton tik tok,"['saya', 'suka', 'nonton', 'tik', 'tok']","['suka', 'nonton', 'tik', 'tok']"
530,Anna Novita,5,2022-11-28 08:56:44,Luar biasa,1,luar biasa,"['luar', 'biasa']",[]
531,Taher .m,5,2022-11-28 05:13:57,تسبیت,1,تسبیت,['تسبیت'],['تسبیت']
532,Khaira Khaira,5,2022-11-28 01:55:42,"Kenapa akun saya jdi ga bisa live setelah di aptudet teruh ada peringatan usia sya krg dri 20 THN padahal saya bikin akun identitas asli,tolong pertimbangkan pihak TikTok",1,kenapa akun saya jdi ga bisa live setelah di aptudet teruh ada peringatan usia sya krg dri 20 thn padahal saya bikin akun identitas asli tolong pe imbangkan pihak tiktok,"['kenapa', 'akun', 'saya', 'jdi', 'ga', 'bisa', 'live', 'setelah', 'di', 'aptudet', 'teruh', 'ada', 'peringatan', 'usia', 'sya', 'krg', 'dri', '20', 'thn', 'padahal', 'saya', 'bikin', 'akun', 'identitas', 'asli', 'tolong', 'pe', 'imbangkan', 'pihak', 'tiktok']","['akun', 'jdi', 'live', 'aptudet', 'teruh', 'peringatan', 'usia', 'sya', 'krg', 'dri', '20', 'thn', 'bikin', 'akun', 'identitas', 'asli', 'tolong', 'imbangkan', 'tiktok']"
533,Sakila Sakila,5,2022-11-27 23:46:49,Tgl 1-1 -1992,1,tgl 1-1 -1992,"['tgl', '1-1', '-1992']","['tgl', '1-1', '-1992']"
534,Ummie Eva,5,2022-11-27 18:54:10,Kenapa y tiktok ku selalu gangguan dan tidak menanggapi,1,kenapa y tiktok ku selalu gangguan dan tidak menanggapi,"['kenapa', 'y', 'tiktok', 'ku', 'selalu', 'gangguan', 'dan', 'tidak', 'menanggapi']","['tiktok', 'ku', 'gangguan', 'menanggapi']"
535,Syahrul Mubarak,5,2022-11-27 16:16:58,sundala,1,sundala,['sundala'],['sundala']
536,Muhammad Abdurrahman,5,2022-11-27 07:37:31,Bagus,1,bagus,['bagus'],['bagus']
537,Nikita Elvita,2,2022-11-27 04:33:50,Knp aku g ad suara yg terbaru 😑,0,knp aku g ad suara yg terbaru 😑,"['knp', 'aku', 'g', 'ad', 'suara', 'yg', 'terbaru']","['knp', 'g', 'suara', 'yg', 'terbaru']"
538,Diah Andriasari,5,2022-11-27 04:04:42,Ini aplikasi terbaik dah 👍👍👍👍👍👍🥰,1,ini aplikasi terbaik dah 👍👍👍👍👍👍🥰,"['ini', 'aplikasi', 'terbaik', 'dah']","['aplikasi', 'terbaik', 'dah']"
539,Abamar Costa,5,2022-11-26 23:34:59,Aku suka tiktok dan mereka like aku banyak sekali,1,aku suka tiktok dan mereka like aku banyak sekali,"['aku', 'suka', 'tiktok', 'dan', 'mereka', 'like', 'aku', 'banyak', 'sekali']","['suka', 'tiktok']"
540,tery putri,5,2022-11-26 15:27:16,💐🤍🤍,1,💐🤍🤍,[],[]
541,FDC Fahrie Doang Chanel,5,2022-11-26 03:45:54,Good,1,good,['good'],[]
542,Eliana Correia,3,2022-11-26 02:30:37,Aplikasi ini bagus,0,aplikasi ini bagus,"['aplikasi', 'ini', 'bagus']","['aplikasi', 'bagus']"
543,Rudi Heryadi,5,2022-11-25 22:16:34,Like👍,1,like👍,[],[]
544,Emi Chanel,5,2022-11-25 20:18:00,Cakep,1,cakep,['cakep'],['cakep']
545,Mayda Mayda,5,2022-11-25 18:00:57,Thanks jadi terhibur,1,thanks jadi terhibur,"['thanks', 'jadi', 'terhibur']",['terhibur']
546,Noman Korai,5,2022-11-25 15:49:15,Qwaesrer,1,qwaesrer,['qwaesrer'],['qwaesrer']
547,Diah Sadiah,5,2022-11-25 15:27:24,Tiktok sangat bagus sekali,1,tiktok sangat bagus sekali,"['tiktok', 'sangat', 'bagus', 'sekali']","['tiktok', 'bagus']"
548,Mohammed Alqorashi,5,2022-11-25 06:49:34,"Ini sangat bagus saya suka,,,",1,ini sangat bagus saya suka   ,"['ini', 'sangat', 'bagus', 'saya', 'suka']","['bagus', 'suka']"
549,celestinoguterres celestino,1,2022-11-24 20:38:44,"Www data:text/html,chromewebd ata",0,www data text html chromewebd ata,"['www', 'data', 'text', 'html', 'chromewebd', 'ata']","['www', 'data', 'text', 'html', 'chromewebd', 'ata']"
550,Srirahayu Ayu,5,2022-11-24 16:01:09,Good,1,good,['good'],[]
551,ABDUL WAHAB,5,2022-11-24 13:32:28,Aplikasi ini sangat menghibur saya,1,aplikasi ini sangat menghibur saya,"['aplikasi', 'ini', 'sangat', 'menghibur', 'saya']","['aplikasi', 'menghibur']"
552,Endro Rustanto,4,2022-11-24 03:51:04,baik,1,baik,['baik'],[]
553,Musli Adi,5,2022-11-24 03:20:57,Mantap,1,mantap,['mantap'],['mantap']
554,Vellix Goulap,5,2022-11-24 03:19:03,Shopee Xpress,1,shopee xpress,"['shopee', 'xpress']","['shopee', 'xpress']"
555,Parul Kanom,3,2022-11-24 01:48:01,Good,0,good,['good'],[]
556,Graçiano Ena,5,2022-11-24 00:31:15,Aplikasi nya bagus banget,1,aplikasi nya bagus banget,"['aplikasi', 'nya', 'bagus', 'banget']","['aplikasi', 'nya', 'bagus', 'banget']"
557,Marni Janwar,5,2022-11-23 15:22:18,Mengungkap kan emosional secara sehat,1,mengungkap kan emosional secara sehat,"['mengungkap', 'kan', 'emosional', 'secara', 'sehat']","['mengungkap', 'emosional', 'sehat']"
558,Josefina,5,2022-11-23 11:17:51,Bagus,1,bagus,['bagus'],['bagus']
559,Diah Yuliantini,5,2022-11-23 08:22:41,"hiburan di saat lelah,, luar biasa makasi tik tok🥰😘",1,hiburan di saat lelah   luar biasa makasi tik tok🥰😘,"['hiburan', 'di', 'saat', 'lelah', 'luar', 'biasa', 'makasi', 'tik', 'tok🥰😘']","['hiburan', 'lelah', 'makasi', 'tik', 'tok🥰😘']"
560,Antonio Sarmento,5,2022-11-23 03:30:33,Aku suka banget sama Tik tok,1,aku suka banget sama tik tok,"['aku', 'suka', 'banget', 'sama', 'tik', 'tok']","['suka', 'banget', 'tik', 'tok']"
561,Ardenio tito Borges,5,2022-11-22 23:43:25,Enakk,1,enakk,['enakk'],['enakk']
562,Ramola Amola,5,2022-11-22 21:57:25,tiuuuuussss,1,tiuuuuussss,['tiuuuuussss'],['tiuuuuussss']
563,Jania bendita Rodrigues,4,2022-11-22 19:54:40,Apk ini sangat bagus,1,apk ini sangat bagus,"['apk', 'ini', 'sangat', 'bagus']","['apk', 'bagus']"
564,kharifah Rozzy,5,2022-11-22 18:43:21,nicwe,1,nicwe,['nicwe'],['nicwe']
565,Nur Hasanah,3,2022-11-22 17:09:55,Kalo bagus di Tamba lagi,0,kalo bagus di tamba lagi,"['kalo', 'bagus', 'di', 'tamba', 'lagi']","['kalo', 'bagus', 'tamba']"
566,Quit Sis,5,2022-11-22 14:50:15,😍👌👌,1,😍👌👌,[],[]
567,Andi Andi sunardi,4,2022-11-22 11:03:11,Gk bs didonlot aplikasi ini sulit banget dipermudah kenapa,1,gk bs didonlot aplikasi ini sulit banget dipermudah kenapa,"['gk', 'bs', 'didonlot', 'aplikasi', 'ini', 'sulit', 'banget', 'dipermudah', 'kenapa']","['gk', 'bs', 'didonlot', 'aplikasi', 'sulit', 'banget', 'dipermudah']"
568,asep ateng,5,2022-11-22 06:48:47,teman dikesendirian,1,teman dikesendirian,"['teman', 'dikesendirian']","['teman', 'dikesendirian']"
569,Ilda Dos Reis,5,2022-11-22 05:08:18,Bagus aih yapi,1,bagus aih yapi,"['bagus', 'aih', 'yapi']","['bagus', 'aih', 'yapi']"
570,Alif yusuf darmawan,1,2022-11-22 02:09:34,woy anj buka baned akun gw🗿,0,woy anj buka baned akun gw🗿,"['woy', 'anj', 'buka', 'baned', 'akun', 'gw🗿']","['woy', 'anj', 'buka', 'baned', 'akun', 'gw🗿']"
571,Yantidejesus 1511,5,2022-11-22 00:05:38,The best,1,the best,"['the', 'best']",[]
572,Joao dearaujo dasilva,4,2022-11-21 15:57:25,Saya masih belum punya banyak pengikut lainnya 😭,1,saya masih belum punya banyak pengikut lainnya 😭,"['saya', 'masih', 'belum', 'punya', 'banyak', 'pengikut', 'lainnya']",['pengikut']
573,Abrilia Nicia,5,2022-11-21 13:21:03,Bagus bagat,1,bagus bagat,"['bagus', 'bagat']","['bagus', 'bagat']"
574,Lindalva Dan costa,5,2022-11-21 13:14:29,I'm so likee3eeeeeeeeeee and loveeeeeee3eeeeeeeeeeeeeee ittttttttttttttttttt,1,i m so likee3eeeeeeeeeee and loveeeeeee3eeeeeeeeeeeeeee ittttttttttttttttttt,"['i', 'm', 'so', 'likee3eeeeeeeeeee', 'and', 'loveeeeeee3eeeeeeeeeeeeeee', 'ittttttttttttttttttt']","['likee3eeeeeeeeeee', 'loveeeeeee3eeeeeeeeeeeeeee', 'ittttttttttttttttttt']"
575,Silvestra Alves,5,2022-11-21 12:54:24,Aplikasinya sangat bagus,1,aplikasinya sangat bagus,"['aplikasinya', 'sangat', 'bagus']","['aplikasinya', 'bagus']"
576,Khoerul Amsor,5,2022-11-21 08:01:09,Bagus .. aq suka 🥰🥰🥰,1,bagus    aq suka 🥰🥰🥰,"['bagus', 'aq', 'suka', '🥰🥰🥰']","['bagus', 'aq', 'suka', '🥰🥰🥰']"
577,AGydu Barros,5,2022-11-21 05:44:24,WAOO KEREN BANGAT,1,waoo keren bangat,"['waoo', 'keren', 'bangat']","['waoo', 'keren', 'bangat']"
578,Md Mafa,5,2022-11-21 05:33:44,MaMafa,1,mamafa,['mamafa'],['mamafa']
579,Elizabeth Jesus tilman,5,2022-11-21 04:40:59,Baguss banettt 🥳🤩,1,baguss banettt 🥳🤩,"['baguss', 'banettt', '🥳🤩']","['baguss', 'banettt', '🥳🤩']"
580,Jacintolopes Lopes,5,2022-11-21 04:17:52,Bermanpat untuk saya,1,bermanpat untuk saya,"['bermanpat', 'untuk', 'saya']",['bermanpat']
581,Agusta Gomes,5,2022-11-21 02:49:03,Aplikasi nx bagus sekali👍,1,aplikasi nx bagus sekali👍,"['aplikasi', 'nx', 'bagus']","['aplikasi', 'nx', 'bagus']"
582,Bona Tipago wiyai,5,2022-11-20 18:56:41,Ok,1,ok,['ok'],[]
583,Neni oktarini,5,2022-11-20 13:03:39,Good,1,good,['good'],[]
584,riyan ray,4,2022-11-20 12:50:44,👌👌,1,👌👌,[],[]
585,TOLOL berfaedah,3,2022-11-20 11:36:01,Jan,0,jan,['jan'],['jan']
586,Atta Marques,4,2022-11-20 07:37:45,bagus bangat 😘😘,1,bagus bangat 😘😘,"['bagus', 'bangat', '😘😘']","['bagus', 'bangat', '😘😘']"
587,Yusri Ismail,5,2022-11-20 06:49:28,Ok,1,ok,['ok'],[]
588,Keyla Soares,5,2022-11-20 06:18:55,Tik tok,1,tik tok,"['tik', 'tok']","['tik', 'tok']"
589,Fania Ssajf1234,1,2022-11-20 04:25:40,Kenapa sekarang tiktok positif banget ...lagi ikut gabung di room temen gak tau apa yang buat pelagarang nya langsung di band aja ...,0,kenapa sekarang tiktok positif banget    lagi ikut gabung di room temen gak tau apa yang buat pelagarang nya langsung di band aja    ,"['kenapa', 'sekarang', 'tiktok', 'positif', 'banget', 'lagi', 'ikut', 'gabung', 'di', 'room', 'temen', 'gak', 'tau', 'apa', 'yang', 'buat', 'pelagarang', 'nya', 'langsung', 'di', 'band', 'aja']","['tiktok', 'positif', 'banget', 'gabung', 'room', 'temen', 'gak', 'tau', 'yang', 'pelagarang', 'nya', 'langsung', 'band', 'aja']"
590,Decsi 25,5,2022-11-20 04:00:02,Bagus banget,1,bagus banget,"['bagus', 'banget']","['bagus', 'banget']"
591,Marques Sergio,5,2022-11-20 01:13:52,Aseu,1,aseu,['aseu'],['aseu']
592,Ratih Sopian,5,2022-11-19 20:26:42,Good,1,good,['good'],[]
593,Ifah Hopifah,5,2022-11-19 19:02:54,Sangat suka,1,sangat suka,"['sangat', 'suka']",['suka']
594,Suweni Weni,4,2022-11-19 14:29:58,Not bad😁,1,not bad😁,['not'],[]
595,Pilatus Galileia,5,2022-11-19 12:51:02,Sangat berguna,1,sangat berguna,"['sangat', 'berguna']",['berguna']
596,Thalimar Magno,5,2022-11-19 06:33:32,aplikasi nya bagus dan juga menghibur,1,aplikasi nya bagus dan juga menghibur,"['aplikasi', 'nya', 'bagus', 'dan', 'juga', 'menghibur']","['aplikasi', 'nya', 'bagus', 'menghibur']"
597,Enty Enty,5,2022-11-19 05:18:29,Yes yes yes,1,yes yes yes,"['yes', 'yes', 'yes']",[]
598,fahom yaren,1,2022-11-19 00:56:54,Fff,0,fff,['fff'],['fff']
599,Mety Mety,5,2022-11-19 00:40:56,Aplikasi nya sagat bagus,1,aplikasi nya sagat bagus,"['aplikasi', 'nya', 'sagat', 'bagus']","['aplikasi', 'nya', 'sagat', 'bagus']"
600,Tatang Sopandi,1,2022-11-18 19:03:59,Prnah bkrja dipabrik,0,prnah bkrja dipabrik,"['prnah', 'bkrja', 'dipabrik']","['prnah', 'bkrja', 'dipabrik']"
601,Santi Olim,4,2022-11-18 15:02:49,Menghibur bngett,1,menghibur bngett,"['menghibur', 'bngett']","['menghibur', 'bngett']"
602,Jhee Martinz,5,2022-11-18 07:30:21,Sangat baik,1,sangat baik,"['sangat', 'baik']",[]
603,Nelfy Nunes,5,2022-11-18 05:42:47,Belagari lebih lanjut,1,belagari lebih lanjut,"['belagari', 'lebih', 'lanjut']",['belagari']
604,Mercy D'jes,4,2022-11-17 23:21:18,Apknya bgus,1,apknya bgus,"['apknya', 'bgus']","['apknya', 'bgus']"
605,Estefanya Fanya,1,2022-11-17 22:57:46,😍😘😗😚😋,0,😍😘😗😚😋,[],[]
606,Natan Lemos,4,2022-11-17 21:17:25,Yaa bagus,1,yaa bagus,"['yaa', 'bagus']","['yaa', 'bagus']"
607,Miya Damiati,5,2022-11-17 18:03:31,"Makasih tık tok, aplikasi yg bağus bisa menambah wawasan",1,makasih tık tok  aplikasi yg bağus bisa menambah wawasan,"['makasih', 'tık', 'tok', 'aplikasi', 'yg', 'bağus', 'bisa', 'menambah', 'wawasan']","['makasih', 'tık', 'tok', 'aplikasi', 'yg', 'bağus', 'menambah', 'wawasan']"
608,Ipo Fred,5,2022-11-17 16:27:21,Saya sangat suka tiktok kasih bintang lima aja!!!!!!!!!!!!!!!!,1,saya sangat suka tiktok kasih bintang lima aja                ,"['saya', 'sangat', 'suka', 'tiktok', 'kasih', 'bintang', 'lima', 'aja']","['suka', 'tiktok', 'kasih', 'bintang', 'aja']"
609,Ary Wijaya,5,2022-11-17 15:57:48,Like saya kurang di reapon,1,like saya kurang di reapon,"['like', 'saya', 'kurang', 'di', 'reapon']",['reapon']
610,Noor Idha,5,2022-11-17 15:02:59,Keren,1,keren,['keren'],['keren']
611,Akila Habibi,3,2022-11-17 14:47:55,Pengen mencoba tiktok bagus ngga ya,0,pengen mencoba tiktok bagus ngga ya,"['pengen', 'mencoba', 'tiktok', 'bagus', 'ngga', 'ya']","['pengen', 'mencoba', 'tiktok', 'bagus', 'ngga']"
612,Ade Dadan,5,2022-11-17 06:18:15,Goood,1,goood,['goood'],['goood']
613,Yulie Susilawati,5,2022-11-17 03:47:26,Ok bgus snggat menghibur,1,ok bgus snggat menghibur,"['ok', 'bgus', 'snggat', 'menghibur']","['bgus', 'snggat', 'menghibur']"
614,Joana Salsinha,5,2022-11-16 23:49:20,Bagus,1,bagus,['bagus'],['bagus']
615,Cicing Wae,4,2022-11-16 09:30:35,اوكي,1,اوكي,['اوكي'],['اوكي']
616,hajjar . sadik,3,2022-11-16 08:14:18,"Saya beri 3 karena makin hari, Vidio saya makin g di publik sama tiktok.",0,saya beri 3 karena makin hari  vidio saya makin g di publik sama tiktok ,"['saya', 'beri', '3', 'karena', 'makin', 'hari', 'vidio', 'saya', 'makin', 'g', 'di', 'publik', 'sama', 'tiktok']","['3', 'vidio', 'g', 'publik', 'tiktok']"
617,Aamira Amira,5,2022-11-16 04:05:19,Oky,1,oky,['oky'],['oky']
618,Muhammad Rafi pradana,5,2022-11-15 21:07:19,Halo bagi yang menaya kan bagaimana live itu butuh umur 20th dan membutuh kan 1000 followers ya!,1,halo bagi yang menaya kan bagaimana live itu butuh umur 20th dan membutuh kan 1000 followers ya ,"['halo', 'bagi', 'yang', 'menaya', 'kan', 'bagaimana', 'live', 'itu', 'butuh', 'umur', '20th', 'dan', 'membutuh', 'kan', '1000', 'followers', 'ya']","['halo', 'yang', 'menaya', 'live', 'butuh', 'umur', '20th', 'membutuh', '1000', 'followers']"
619,Lutfi Hartono,4,2022-11-15 19:22:27,Mantap,1,mantap,['mantap'],['mantap']
620,Rico Aditia,5,2022-11-15 16:21:24,Mantap,1,mantap,['mantap'],['mantap']
621,Dulcya Neves,5,2022-11-15 11:01:41,Bagusss,1,bagusss,['bagusss'],['bagusss']
622,RS DF,5,2022-11-15 07:29:09,Tiktok Tiktok,1,tiktok tiktok,"['tiktok', 'tiktok']","['tiktok', 'tiktok']"
623,Yanti Teh,5,2022-11-15 07:04:12,Wah bagus banget,1,wah bagus banget,"['wah', 'bagus', 'banget']","['bagus', 'banget']"
624,Syam Sul,5,2022-11-15 06:47:31,Top,1,top,['top'],['top']
625,Robertu Carlos,4,2022-11-15 00:41:12,💯,1,💯,[],[]
626,bebe assis,5,2022-11-14 14:58:51,Bagus bgt sumpah,1,bagus bgt sumpah,"['bagus', 'bgt', 'sumpah']","['bagus', 'bgt', 'sumpah']"
627,Erlina Da Costa,5,2022-11-14 12:51:14,Aplikasi ini bagus sangat menghibur🥰,1,aplikasi ini bagus sangat menghibur🥰,"['aplikasi', 'ini', 'bagus', 'sangat', 'menghibur🥰']","['aplikasi', 'bagus', 'menghibur🥰']"
628,Dr. OTOMOTIF TV,5,2022-11-14 12:35:56,Cukup terhibur,1,cukup terhibur,"['cukup', 'terhibur']",['terhibur']
629,Ameta Pinto,5,2022-11-14 11:54:59,Saya lansun bingtan5,1,saya lansun bingtan5,"['saya', 'lansun', 'bingtan5']","['lansun', 'bingtan5']"
630,Takiya Genji,5,2022-11-14 07:29:47,ya bagus,1,ya bagus,"['ya', 'bagus']",['bagus']
631,Mujinu Pinto,5,2022-11-14 06:40:59,tiktok memberi yang terbaik,1,tiktok memberi yang terbaik,"['tiktok', 'memberi', 'yang', 'terbaik']","['tiktok', 'yang', 'terbaik']"
632,Isolina Soares,5,2022-11-14 04:24:09,Aku kasih bintan 5 Karna bagus 😄❤💋,1,aku kasih bintan 5 karna bagus 😄❤💋,"['aku', 'kasih', 'bintan', '5', 'karna', 'bagus']","['kasih', 'bintan', '5', 'bagus']"
633,Afildo Ino Ximenes,5,2022-11-14 03:16:11,Sangat menghibur,1,sangat menghibur,"['sangat', 'menghibur']",['menghibur']
634,Zaki Zubay,3,2022-11-13 23:24:33,good,0,good,['good'],[]
635,Yanti Yanti,5,2022-11-13 19:23:54,Semoga aku bisa lagi bikin video,1,semoga aku bisa lagi bikin video,"['semoga', 'aku', 'bisa', 'lagi', 'bikin', 'video']","['semoga', 'bikin', 'video']"
636,Sayang Sayang,5,2022-11-13 17:32:02,Sangat bagus,1,sangat bagus,"['sangat', 'bagus']",['bagus']
637,Tony Freytas,5,2022-11-13 11:53:26,Good apps,1,good apps,"['good', 'apps']",['apps']
638,Ruslan Naiem,5,2022-11-13 10:59:59,Very good apk,1,very good apk,"['very', 'good', 'apk']",['apk']
639,Frendelizio Guterres,5,2022-11-13 09:43:56,🥰,1,🥰,['🥰'],['🥰']
640,Dwi Martoaji,5,2022-11-13 02:40:31,"Baguusss sampe"" aku temukan jodohku di tiktok, terimakasih 🙏🙏😊",1,baguusss sampe  aku temukan jodohku di tiktok  terimakasih 🙏🙏😊,"['baguusss', 'sampe', 'aku', 'temukan', 'jodohku', 'di', 'tiktok', 'terimakasih']","['baguusss', 'sampe', 'temukan', 'jodohku', 'tiktok', 'terimakasih']"
641,Mukhtar RaiZ,5,2022-11-13 02:34:39,Oceh,1,oceh,['oceh'],['oceh']
642,Siti Rahma Wati Jaidun,5,2022-11-12 22:40:11,Bagus,1,bagus,['bagus'],['bagus']
643,Yara Ahmed,5,2022-11-12 21:38:51,Verry Nice aplikasi 🥰😍,1,verry nice aplikasi 🥰😍,"['verry', 'nice', 'aplikasi']","['verry', 'nice', 'aplikasi']"
644,Istilahwati12 Madura,5,2022-11-12 20:33:49,Mantap,1,mantap,['mantap'],['mantap']
645,Mario Mario,5,2022-11-12 19:49:40,Sangat bagus,1,sangat bagus,"['sangat', 'bagus']",['bagus']
646,Andi Prabudi,5,2022-11-12 15:37:21,Sangat suka sekali,1,sangat suka sekali,"['sangat', 'suka', 'sekali']",['suka']
647,Farah asyla,5,2022-11-12 15:23:29,TikTok aplikasi yang bagus kalau lagi bete Langsung ke TikTok,1,tiktok aplikasi yang bagus kalau lagi bete langsung ke tiktok,"['tiktok', 'aplikasi', 'yang', 'bagus', 'kalau', 'lagi', 'bete', 'langsung', 'ke', 'tiktok']","['tiktok', 'aplikasi', 'yang', 'bagus', 'bete', 'langsung', 'tiktok']"
648,Joel Cardoso,5,2022-11-12 14:06:38,Beatifful,1,beatifful,['beatifful'],['beatifful']
649,joao borge,5,2022-11-12 13:14:53,I likee,1,i likee,"['i', 'likee']",['likee']
650,Jenitu Das neves,5,2022-11-12 13:07:18,👏💪,1,👏💪,[],[]
651,Ak Fortoynty,5,2022-11-12 11:34:34,"MD FORHADBXBXJXJJXNDBDHDJDJNCBXHXJXJHXZBDJZKZNBZNDNX I I I I I I the the same time, the more first, I are the known for his own words us. The is a bit like the way to get with you oiwuwywtwyiwiwkdnbvhziwk djshvdudk do it. I was a bit though the same dbbxicbxhxghcbxusiksnznxhwjwiwkjx dhsjowjxndbeuiwkwksvd djekwkjdbduwikjxbdhdiwk dkwoznbdhdisksndbxheuiwksnxbdhejiksjdbejwksmnzbshwjsksn sjqknzbxhduzjnxbwjdh, and e, but I cbxbcbfbchxnxcncnjdjsnsnzbjwkwksncbxn fukwjsjxhdhhd ndjdkdjbfjfjcjfjiejjdudbjdn",1,md forhadbxbxjxjjxndbdhdjdjncbxhxjxjhxzbdjzkznbzndnx i i i i i i the the same time  the more first  i are the known for his own words us  the is a bit like the way to get with you oiwuwywtwyiwiwkdnbvhziwk djshvdudk do it  i was a bit though the same dbbxicbxhxghcbxusiksnznxhwjwiwkjx dhsjowjxndbeuiwkwksvd djekwkjdbduwikjxbdhdiwk dkwoznbdhdisksndbxheuiwksnxbdhejiksjdbejwksmnzbshwjsksn sjqknzbxhduzjnxbwjdh  and e  but i cbxbcbfbchxnxcncnjdjsnsnzbjwkwksncbxn fukwjsjxhdhhd ndjdkdjbfjfjcjfjiejjdudbjdn,"['md', 'forhadbxbxjxjjxndbdhdjdjncbxhxjxjhxzbdjzkznbzndnx', 'i', 'i', 'i', 'i', 'i', 'i', 'the', 'the', 'same', 'time', 'the', 'more', 'first', 'i', 'are', 'the', 'known', 'for', 'his', 'own', 'words', 'us', 'the', 'is', 'a', 'bit', 'like', 'the', 'way', 'to', 'get', 'with', 'you', 'oiwuwywtwyiwiwkdnbvhziwk', 'djshvdudk', 'do', 'it', 'i', 'was', 'a', 'bit', 'though', 'the', 'same', 'dbbxicbxhxghcbxusiksnznxhwjwiwkjx', 'dhsjowjxndbeuiwkwksvd', 'djekwkjdbduwikjxbdhdiwk', 'dkwoznbdhdisksndbxheuiwksnxbdhejiksjdbejwksmnzbshwjsksn', 'sjqknzbxhduzjnxbwjdh', 'and', 'e', 'but', 'i', 'cbxbcbfbchxnxcncnjdjsnsnzbjwkwksncbxn', 'fukwjsjxhdhhd', 'ndjdkdjbfjfjcjfjiejjdudbjdn']","['md', 'forhadbxbxjxjjxndbdhdjdjncbxhxjxjhxzbdjzkznbzndnx', 'time', 'words', 'bit', 'oiwuwywtwyiwiwkdnbvhziwk', 'djshvdudk', 'bit', 'dbbxicbxhxghcbxusiksnznxhwjwiwkjx', 'dhsjowjxndbeuiwkwksvd', 'djekwkjdbduwikjxbdhdiwk', 'dkwoznbdhdisksndbxheuiwksnxbdhejiksjdbejwksmnzbshwjsksn', 'sjqknzbxhduzjnxbwjdh', 'cbxbcbfbchxnxcncnjdjsnsnzbjwkwksncbxn', 'fukwjsjxhdhhd', 'ndjdkdjbfjfjcjfjiejjdudbjdn']"
652,Mas Wandi,5,2022-11-12 11:27:32,Titok ini saya suka,1,titok ini saya suka,"['titok', 'ini', 'saya', 'suka']","['titok', 'suka']"
653,Maria Soares,1,2022-11-12 09:43:35,Tolong tanba efek Beaty baru dong,0,tolong tanba efek beaty baru dong,"['tolong', 'tanba', 'efek', 'beaty', 'baru', 'dong']","['tolong', 'tanba', 'efek', 'beaty']"
654,Milenio Leandro,5,2022-11-12 07:58:37,Apk ini sangat bagus,1,apk ini sangat bagus,"['apk', 'ini', 'sangat', 'bagus']","['apk', 'bagus']"
655,Sumi Yanti,5,2022-11-12 06:42:55,Sangat bagus makasih,1,sangat bagus makasih,"['sangat', 'bagus', 'makasih']","['bagus', 'makasih']"
656,Agnesia Dosantos,5,2022-11-12 04:26:32,Bagus,1,bagus,['bagus'],['bagus']
657,Arsenio Soares,5,2022-11-12 04:22:52,sangat menyenangkan,1,sangat menyenangkan,"['sangat', 'menyenangkan']",['menyenangkan']
